title,authors,year,doi,journal,abstract,cited_by_count,type,open_access,url,openalex_id,assessment_tasks
Structural assessment of existing timber roof structures for green roofs in Rotterdam,L.H.C.J. Rovers,2015,,Research Repository (Delft University of Technology),"Green roofs, also known as vegetation roofs, are becoming very popular for residents of houses or apartments and for good reasons. Vegetation on rooftops have many benefits on global and local level. Expectations show that the climate change will lead to heavier storms and causes the sewers in Rotterdam to overflow. Hence, the municipality of Rotterdam wishes to apply this special type of roof on a large scale to buffer rainwater which can gradually be discharged. Although the concept of a green roof is nothing new, applying them on this large scale to solve an urban problem makes it an interesting topic. Two types can be distinguished: intensive and extensive green roofs. Both types are able to retain rainwater but can be distinguished in their function. Intensive green roofs allow for recreation and gardening while extensive green roofs have an aesthetical function. The municipality of Rotterdam and its citizens both want green roofs instead of bitumen roofs, however they neither have the time nor the knowledge to determine whether their timber roof structure is suitable for this extra ballast. A first simplified calculation indicated that there was not enough strength to resists this load. If no research is done then Rotterdam will only be able to have vegetation on structures of steel or concrete while timber roofs are commonly present. In an ideal future every roof in Rotterdam is a green roof. This thesis researches the residual capacity of flat timber roofs by reducing the uncertainties associated with the strength. The main goal is therefore to be able to predict, and if necessary increase, the true strength capacity without demolishing the roof structure. The past The first step is to identify the size of the problem. A multi-criteria analysis was already performed by the municipality and translated into a potential map. However the criterion “year of construction” has a high level of uncertainty because there is a lack of knowledge about older timber roof structures. The map distinguished five groups with different ranges of construction years which was based on experience. A logical step is an archival research to the history and typologies of houses in Rotterdam. This investigation revealed that most houses were built before 1940 (pre-war) but a large amount of roof structures are renovated or renewed in the 80’s. Timber was the main building material for roof structures but after World War II the focus was on speed and efficiency which resulted into more concrete roofs. Another consequence of World War II was the destruction of the city archive. This resulted into the loss of information about the present timber properties and dimensions. The structural geometry of flat roofs did not change over the years. During archival and literature research it was found that a beam supported by two masonry walls is standard practice. The main consequence of a green roof is than an increase of the bending moment of the existing timber elements. This increase may lead to collapse of the roof structure. Before extensive research towards the true strength of timber elements was performed, a more general investigation to gaining strength and possible weak spots was done. The idea was that some design norms throughout the years might have used too conservative values and thus strength could be gained by recalculating the structure with the current regulations. It was found that the values for roof structures stayed practically the same in the building codes. However most structures also satisfy the deflection requirement but this is not legally established. Beams that are designed on this requirement have extra strength. The visual grading norms, which determines the strength of a timber element based on visual characteristic, have become more flexible over the years. Also the strength classes changed, before 1933 no strength value was used but dimensions were based on experience. Afterwards two main strength classes were defined as standard building wood and construction wood which are more or less equal to C18 and C24 in modern times. Wood is an organic material which is sensitive to time dependent processes that reduce the strength. Age is not necessarily a strength-reducing factor but is associated with strength-reducing processes. Four degradation mechanisms can be distinguished for timber: mechanical, physical, chemical and biological. The latter is the largest problem for roofs because insulation or treating the wood was not always done (correctly). Table 2-5 gives an overview of positive and negative aspects for roof structures. The present Current approaches are based on identifying the state of the structure and calculating the extra load according to the active regulations for new buildings. The building code refers to the NEN8700 for coping with existing structures. This norm gives five solutions when the strength is not sufficient: reduce the reference period, values are based on actual use, adjust the use, adjust the safety margin or adjust the strength. This thesis focused on the first and last option. Reducing the reference period is discussed and not recommended unless the engineer can determine and control the load with high precision. It is not legally determined if the change of the safety level is allowed. This will lead to discussions with “construction and housing inspection” in the future because roofs are less safe. The extra capacity must thus be found in adjusting the strength. The idea is as follows, freshly sawn structural timber is graded into a strength class. This means that a small amount of the graded timber does not have to meet a certain limit strength. Nowadays the 5% lower probability value is chosen as the limit value. This way of strength grading allows for beams to be stronger than the characteristic value. The experiments were aiming to predict the actual strength without demolishing the roof. During the research, thirteen beams were obtained from an ongoing demolishment. Ten of these members are of a renovated roof structure from 1983 while the original structure was from 1923. The other three members are from another building where the original structure of 1923 was still present. A strength prediction model was used that required the density and dynamic modulus of elasticity (MOE). The density can be measured with aid of a resistograph. Here it is important to drill in radial direction. Next a vibration meter was used to measure the wave speed which can be combined with the density to gain the dynamic MOE. Five sub-experiments were conducted to determine the difference between in-situ situations and free vibrations. As it turns out, a screw is the best way to introduce the wave and the surrounding increase the wave speed. This needs to be corrected with a certain coefficient on the frequency. A 6 to 10 percent increase of the frequency was found during testing. At last the true bending strength was checked with a four point bending test. The true strength was 20 to 140 percent higher than the characteristic value of the initial grade. Four strategies for future assessments are proposed: calculate as new structure according the current regulations, reduce the reference period (not recommended), visual upgrading and non-destructive tests. Each step requires more work but will, most likely, lead to extra strength. Two case studies were worked out following the different strategies. As expected, non-destructive tests is the most beneficial strategy because information about the actual strength is attained. With this information the strength class could be upgraded. In this case study it becomes clear that low weight green roofs (1 kN/m²) can be applied while a heavy green roof (3,4 kN/m²) needs more attention. A solution between these two extreme is also possible. Furthermore in one case the characteristic bending strength was increased with a factor of 1,5. Time dependent factors seem to be the main problem in all strategies. The duration of load may cause excessive deflections or even creep rupture. Limits to the deflections are not legally established and can be concealed with a lowered ceiling. The future The choice for a method of reinforcing an existing structure depends on a number of criteria. An engineer and user should discuss the possibilities that satisfies both. The most optimal solution will depend on the existing timber structure because every situation is unique. For the case studies the best solution is to increase the cross section of specific individual beams with timber elements. This method is easy, fast and cheap. At last an action plan was made for future assessments. Following the different steps in this protocol can make reinforcement and extra costs unnecessary and is thus the first step towards a Rotterdam with only green roofs.",0,article,True,https://openalex.org/W2221304946,https://openalex.org/W2221304946,"Tasks: geometry, strength, deterioration"
Influence of the relative rib area on bond behaviour,Giovanni Metelli; Giovanni Plizzari,2014,10.1680/macr.13.00198,Magazine of Concrete Research,"Steel-to-concrete bond is a basic aspect of the behaviour of reinforced concrete structures both at serviceability and ultimate states. When bond rules were originally developed, experimental results were mainly obtained on normal-strength concrete and a minimum relative rib area (bond index) was required by building codes to ensure good bond properties. The arrival into the market of high-performance concrete and newer structural needs may require different bond indexes. In the present paper, the experimental results of pull-out tests on short anchorages are presented. Several pull-out tests on ribbed bars, embedded in cubes of normal- and high-strength concrete with a concrete cover of 4·5 times the bar diameter, were carried out in order to better understand the influence of the relative rib area and bar diameter on the local bond behaviour, as well as on the splitting crack width generated by the wedging action of ribs. A total of 96 tests were performed on machined bars of three different diameters (12, 16 and 20 mm) with a bond index ranging from 0·040 to 0·105. The results of 55 pull-out tests on commercial hot-rolled ribbed bars of four different diameters (12, 20, 40 and 50 mm) are also presented to confirm that the bond response also depends on bar diameter (size effect). Experimental results provide information concerning the influence of the relative rib area on bond strength and on the bursting force due to the rib's wedge action. As the minimum measured bond strength of rebars was always markedly greater than the minimum bond strength required by building codes even when low bond indexes were adopted, the test results point out the possibility of reducing the minimum value of the relative rib area required by Eurocode 2 without limiting the safety coefficient of bond. The reduction also allows a higher structural ductility that can be achieved due to a greater strain penetration of the rebars from concrete cracks.",138,article,True,https://doi.org/10.1680/macr.13.00198,https://openalex.org/W2041638742,Tasks: geometry
Online monitoring of cracking in concrete structures using embedded piezoelectric transducers,Cédric Dumoulin; G. Karaiskos; Jean-Yves Sener; Arnaud Deraemaeker,2014,10.1088/0964-1726/23/11/115016,Smart Materials and Structures,"Online damage detection is of great interest in the field of concrete structures and, more generally, within the construction industry. Current economic requirements impose the reduction of the operating costs related to such inspection while the security and the reliability of structures must constantly be improved. In this paper, nondestructive testing is applied using piezoelectric transducers embedded in concrete structures. These transducers are especially adapted for online ultrasonic monitoring, due to their low cost, small size, and broad frequency band. These recent transducers are called smart aggregates. The technique of health monitoring developed in this study is based on a ultrasonic pulse velocity test with an embedded ultrasonic emitter-receiver pair (pitch-catch). The damage indicator focuses on the early wave arrival. The Belgian company MS3 takes an interest in evaluating the quality of the concrete around the anchorage system of highway security barriers after important shocks. The failure mechanism can be viewed as a combination of a bending and the failure of the anchorages. Accordingly, the monitoring technique has been applied both on a three-points bending test and several pull-out tests. The results indicate a very high sensitivity of the method, which is able to detect the crack initiation phase and follow the crack propagation over the entire duration of the test.",74,article,True,https://doi.org/10.1088/0964-1726/23/11/115016,https://openalex.org/W2006312659,Tasks: defects
Destructive and Non-destructive Testing of Concrete Structures,Malek Jedidi; Machta Kaouther,2014,,Jordan Journal of Civil Engineering,"The estimation of mechanical properties of concrete can be carried out by several methods; destructive and non-destructive. In this context, the crushing of the samples is the usual destructive test to determine the concrete strength. The rebound hammer test and the ultrasonic device are used in the field of non-destructive tests to determine respectively the compression strength and the ultrasonic pulse velocity (UPV) in the concrete. In this work, eight concrete compositions were used to prepare cylindrical specimens (16 cm x 32 cm) by varying the water/ cement ratio and the cement dosage. An experimental study was conducted to determine the compressive strength of concrete by destructive (compression) and non-destructive (rebound hammer) tests at different ages (7, 14 and 28 days). In addition, the influence of several factors on the modulus of elasticity determined by pulse velocity test was investigated. These factors mainly included the age of concrete and the water/ cement ratio. The results showed that the difference between the resistance values obtained by destructive and non-destructive methods decreases with increasing age of concrete. The dynamic modulus of elasticity increases with the curing time of the concrete until the age of three months. In addition, a simplified expression has been proposed to estimate the rebound number from the value of the dynamic modulus of elasticity determined by pulse velocity test.",70,article,False,https://openalex.org/W1718224595,https://openalex.org/W1718224595,Tasks: strength
Ground penetrating radar utilization in exploring inadequate concrete covers in a new bridge deck,Md. Istiaque Hasan; Nur Yazdani,2014,10.1016/j.cscm.2014.04.003,Case Studies in Construction Materials,"The reinforced concrete cast in place four span deck of a concrete bridge near Roanoke, Texas, was recently completed. Due to possible construction errors, it was suspected that the concrete covers in the deck did not conform to drawings and specifications. A full scale non-destructive evaluation of the concrete covers was carried out using ground penetrating radar (GPR) equipment. Cover values were determined from the radargram generated from the scan. The estimated covers were plotted on contour maps. Migration data can substitute the drilling based ground truth data without compromising the concrete cover estimations, except for areas with very high cover values. Areas with high water content may result in inaccurate concrete dielectric constants. Based on the results, significant retrofitting of the bridge deck, such as additional overlay, was recommended.",52,article,True,https://doi.org/10.1016/j.cscm.2014.04.003,https://openalex.org/W1971017063,Tasks: geometry
Non-Destructive Techniques and Monitoring for the Evolutive Damage Detection of an Ancient Masonry Structure,Dora Foti,2014,10.4028/www.scientific.net/kem.628.168,Key engineering materials,"In the present article non-destructive testing evaluation of the existing damage evolution has been applied to some buildings of the medieval town of Craco (Matera, Italy) and, in particular, to the Normand tower. Actually the little town of Craco is totally abandoned as a consequence of the activation of the landslide motions of its soil depth. Nevertheless, the Normand tower still stands because it is located on a stable and stiffer foundation ground. The tower was built in the XII century. It is 20 m tall and has a symmetric square plan, with dimensions 11 m x 11 m; it was built for defense against enemy attacks. Inside the tower a cistern in reinforced concrete was placed in 1949. It is not connected to the structural walls of the tower; however it represents an obstacle for installing the damage detection equipment and sensors. In this article a preliminary study on the masonry structure of the Normand tower is carried on. A finite element numerical model has been developed and a modal analysis has been performed. The final aim of the research is to find out the evolutionary stage of the cracks and to propose a possible retrofit of the tower.",39,article,False,https://doi.org/10.4028/www.scientific.net/kem.628.168,https://openalex.org/W1966328060,Tasks: defects
Multi-sensing NDT for damage assessment of concrete masonry walls,Fuad Khan; S. Rajaram; Prashanth A. Vanniamparambil; Mohammad Bolhassani; Ahmad A. Hamid,2014,10.1002/stc.1680,Structural Control and Health Monitoring,"This paper presents a hybrid non-destructive testing (NDT) approach based on (non-contact) infrared thermography (IRT), (passive) acoustic emission (AE), and (active) ultrasonic (UT) techniques for effective damage assessment of partially grouted concrete masonry walls (PGMW). This hybrid monitoring approach could be implemented for the health monitoring of concrete masonry structures. The implementation of this system assists the cross validation of in-situ recorded information for structural damage assessment. NDT was performed on PGMW subjected to cyclic horizontal loading. The obtained IRT, AE, and UT results successfully monitored the progressive damage process throughout the loading history. Copyright © 2014 John Wiley & Sons, Ltd.",36,article,False,https://doi.org/10.1002/stc.1680,https://openalex.org/W1906631321,Tasks: defects
Determination of the distribution of electrical resistivity in reinforced concrete structures using electrical resistivity tomography,Kenji Reichling; Michael Raupach; Norbert Klitzsch,2014,10.1002/maco.201407763,Materials and Corrosion,"Concrete resistivity is an important durability related material parameter. It correlates with various properties, e.g., the reinforcement corrosion rate, the water saturation degree and the porosity. The resistivity is typically determined on a structure by using the Wenner probe. Unfortunately the results can strongly be influenced by heterogeneities, e.g., reinforcement bars or inhomogeneous moisture distributions. Neglecting these effects can lead to significant misinterpretations. In order to consider these influences quantitatively the applicability of the electrical resistivity tomography (ERT) on reinforced concrete has been studied. The aim of the method is to determine the distribution of the concrete resistivity perpendicular to the concrete surface. Based on this data the spatial distribution of material properties can be derived and the influence of an inhomogeneous resistivity distribution on the corrosion rate of the reinforcement can be studied. ERT can be applied to determine the resistivity distribution of reinforced concrete within certain resolution limits. Within this work the influence of different electrode configurations and rebar positions as well as the improvement of the resolution by considering prior information are exemplarily shown. Compared to the Wenner configuration the resolution and accuracy can be improved significantly with dipole–dipole measurements.",30,article,True,https://doi.org/10.1002/maco.201407763,https://openalex.org/W2171391789,"Tasks: deterioration, moisture"
Review of the Rebound Hammer Method Estimating Concrete Compressive Strength on Site,,2014,10.17758/ur.u1214338,,"Compressive strength of concrete is the most import ant input data for engineering calculations during the design of reinforced concrete structures. Compressive strength of concrete can be determined by testing of moulded specimens or by core specimens drilled from existing structures. Moulded specimens, however, do not always represent the actual condition of structural concrete and drilling of core specimens from certain structural members is not always possible (because of risk of the loss of structural stability or bad accessibility of the structural element to be examined). With non-destructive testing (NDT) devices the measurements can be performed directly on the structural concrete and the strength of concrete can be estimated from the measured results with limited reliability. One of these methods is a classic NDT method based on the surface hardness testing of concrete which became popular in the construction industry during the 1950's. Surface hardness testing is a long established NDT method for the strength estimation of materials. Nowadays, the Schmidt rebound hammer is still the surface hardness testing device of the most widespread use for concrete. Rebound hammer can be used very easily and the measure of hardness (i.e. the rebound index) can be read directly on the display of the testing device. This Communication aims to revisit this method emphasizing on its methodology and norms or standards that can guide its use on the assessment of the strength of concrete on site.",28,article,False,https://doi.org/10.17758/ur.u1214338,https://openalex.org/W2547745623,Tasks: strength
Forensic Investigation of Fire-affected Reinforced Concrete Buildings,Paul O. Awoyera; I. I. Akinwumi; A. N. Ede; M.O Olofinnade,2014,10.9790/1684-11441723,IOSR Journal of Mechanical and Civil Engineering,"This study focused on forensic investigation of fire-affected reinforced concrete buildings.Post-fire investigation was conducted on structural elements in three selected fire-affected concrete buildings, in order to ascertain their in situ residual strengths and also to provide data for use in future assessment of fire-affected buildings.The selected sites for investigation include a five-storey building at Alagbaka and a bungalow at Adegbola in Akure, and a ten-storey building in Benin, Nigeria.Rebound hammer and ultrasonic pulse velocity are two non-destructive tests apparatus used for this investigation.Average values of pulse velocity were fitted into an established model in order to estimate the probable temperature, which the buildings were subjected to.Tests were conducted on beams, columns and slabs in both the affected and the unaffected parts of the buildings.From the results, visual examination of the fire-affected buildings revealed changes in the colour of the concrete, delamination of plaster of slab and exposure of reinforcement for severe cases at various locations on the concrete members.In addition, there was notable reduction in the in situ strengths of the fire-affected structural members when compared with the unaffected members.It was deduced that concrete members subjected to temperatures above 600 0 C lost about 70 % of its strength.",18,article,False,https://doi.org/10.9790/1684-11441723,https://openalex.org/W2170408124,Tasks: strength
FRP-to-Masonry Bond Durability Assessment with Infrared Thermography Method,Bahman Ghiassi; Sandra Monteiro Silva; Daniel V. Oliveira; Paulo B. Lourénço; L. Bragança,2014,10.1007/s10921-014-0238-8,Journal of Nondestructive Evaluation,"The bond behavior between FRP composites and masonry substrate plays an important role in the performance of externally bonded reinforced masonry structures. Therefore, monitoring the bond quality during the application and subsequent service life of a structure is of crucial importance for execution control and structural health monitoring. The bond quality can change during the service life of the structure due to environmental conditions. Local detachments may occur at the FRP/substrate interface, affecting the bond performance to a large extent. Therefore, the use of expedite and efficient non-destructive techniques for assessment of the bond quality and monitoring FRP delamination is of much interest. Active infrared thermography (IR) technique was used in this study for assessing the bond quality in environmentally degraded FRP-strengthened masonry elements. The applicability and accuracy of the adopted method was initially validated by localization and size quantification of artificially embedded defects in FRP-strengthened brick specimens. Then, the method was used for investigating the appearance and progression of FRP delaminations due to environmental conditions. GFRP-strengthened brick specimens were exposed to accelerated hygrothermal ageing tests and inspected periodically with the IR camera. The results showed environmental exposure may produce large progressive FRP delaminations.",18,article,True,https://doi.org/10.1007/s10921-014-0238-8,https://openalex.org/W2057739965,Tasks: deterioration
Determine the Compressive Strength of Calcium Silicate Bricks by Combined Nondestructive Method,Jiří Brožovský,2014,10.1155/2014/829794,The Scientific World JOURNAL,"The paper deals with the application of combined nondestructive method for assessment of compressive strength of calcium silicate bricks. In this case, it is a combination of the rebound hammer method and ultrasonic pulse method. Calibration relationships for determining compressive strength of calcium silicate bricks obtained from nondestructive parameter testing for the combined method as well as for the L-type Schmidt rebound hammer and ultrasonic pulse method are quoted here. Calibration relationships are known for their close correlation and are applicable in practice. The highest correlation between parameters from nondestructive measurement and predicted compressive strength is obtained using the SonReb combined nondestructive method. Combined nondestructive SonReb method was proved applicable for determination of compressive strength of calcium silicate bricks at checking tests in a production plant and for evaluation of bricks built in existing masonry structures.",18,article,True,https://doi.org/10.1155/2014/829794,https://openalex.org/W2099099797,Tasks: strength
Investigation of the Potential for Evaluation of Concrete Flaws Using Nondestructive Testing Methods,Alexandre Lorenzi; Luciane Fonseca Caetano; Josué Argenta Chies; Luiz Carlos Pinto da Silva Filho,2014,10.1155/2014/543090,ISRN Civil Engineering,"Adoption of periodic or continuous monitoring strategies to assess condition state of infrastructure elements is a vital part of service life management (SLM). NDT methods are increasingly seen as an attractive and viable strategy to support condition monitoring. Over the last 15 years, the LEME research group at UFRGS has investigated several aspects related to the use of the ultrasonic pulse velocity (UPV) method and its potential for real field applications. One of the main advances involved the development of artificial neural network (ANN) models for correlating compressive strength and UPV measurements. Another examined problem was how to deal with the large amount of raw data derived from inspection of large structures. Several studies were carried out to check different mapping techniques, as reported by Lorenzi et al. 2011. This paper relates one investigation where UPV and rebound hammer (RH) measurements were collected from a beam containing several induced defects, simulated using different materials. The results were processed using a mapping strategy, which indicated suspicious points where core extraction was undertaken. All cores taken from points derived from UPV results were found to have flaws providing evidence that this may be a suitable tool to assess concrete structures, when data is properly interpreted.",17,article,True,https://doi.org/10.1155/2014/543090,https://openalex.org/W2010758637,"Tasks: strength, deterioration"
Estimation of compressive strength of high-strength concrete with recycled aggregate using non-destructive test and numerical analysis,Y. S. Cho; Seungmin Baek; Y. T. Lee; S. H. Kim; Seong Uk Hong,2014,10.1179/1432891714z.000000000415,Materials Research Innovations,"The purpose of the study is to provide reliable data on high-strength recycled aggregate concrete and basic data for maintaining a structure built with high-quality recycled aggregates. An experimental concrete structure mould with rectangular parallelepiped dimensions of 600 x 600 x 200 mm, is prepared to measure the wave velocity of specimens aged 28 days. The ultrasonic pulse velocity was measured for specimens that were aged for 1, 3, 7 and 28 days. In the compressive strength test at a material age of 28 days, the concrete incorporating recycled aggregates show almost the same or slightly lower strength compared with natural aggregate concrete. Using the variables of optimised contact time, the velocity of the compression wave obtained through simulation can be an index to determine non-destructive test reliability and evaluate the applicability.",11,article,False,https://doi.org/10.1179/1432891714z.000000000415,https://openalex.org/W2089737912,Tasks: strength
Study on Strength and Ultrasonic Velocity of Air-Entrained Concrete and Plain Concrete in Cold Environment,Huaishuai Shang; Ting‐Hua Yi; Xing-xing Guo,2014,10.1155/2014/706986,Advances in Materials Science and Engineering,"Nondestructive testing technology is essential in the quality inspection of repair, alteration, and renovation of the existing engineering, especially for concrete structure in severe environment. The objective of this work is to deal with the behavior of ultrasonic velocity and mechanical properties of plain concrete and air-entrained concrete subjected to freeze-thaw cycles (F-T-C). The ultrasonic velocity and mechanical properties (tensile strength, compressive strength, cubic compressive strength, and splitting strength) of C30 air-entrained concrete and plain concrete with different water-cement ratio (water-cement ratio was 0.55, 0.45, and 0.50, resp.) after F-T cycles were measured. The influences of F-T cycles on ultrasonic velocity and mechanical properties of C30 air-entrained concrete and plain concrete were analyzed. And the relationship between mechanical properties and ultrasonic velocity was established. The experimental results can be useful for the design of new concrete structure, maintenance and life prediction of existing concrete structure such as offshore platform and concrete dock wall.",10,article,True,https://doi.org/10.1155/2014/706986,https://openalex.org/W2051302622,Tasks: strength
Influence of fire damage on the modal parameters of a prestressed concrete double-tee joist roof,Matthew J. Whelan; Brett Tempest; David B. Scott,2014,10.1002/stc.1651,Structural Control and Health Monitoring,"This paper examines the influence of fire damage on experimentally measurable modal parameters to explore the potential role of vibration-based structural identification in post-fire condition assessment. Experimental modal analysis of a precast, prestressed concrete roof comprised of modular double-tee joists was performed following exposure to an accidental fire. Empirical evidence of localized structural degradation is identified in the mode shapes, which suggests that modal parameters are sensitive to fire-induced damage in prestressed concrete members. Additionally, measured out-of-plane global modes are correlated with finite element simulations using a model of the as-built roof as well as a model updated using a large set of impact-echo measurements across the double-tee roof to spatially map localized reductions in stiffness. The comparisons support the experimental conclusions and further demonstrate that, by coupling nondestructive techniques, it is possible to construct a validated analytical model of structural components with sufficient fidelity to assess suitability for rehabilitation and reuse. With further development, vibration-based monitoring and structural identification may be an attractive alternative to physical load testing, particularly when the risk of structural collapse under proof testing loads is high. Copyright © 2014 John Wiley & Sons, Ltd.",9,article,False,https://doi.org/10.1002/stc.1651,https://openalex.org/W1885594628,Tasks: defects
Practical Visualization of Local Vibration Data Collected over Large Concrete Elements,Tae Keun Oh; John S. Popovics,2014,10.1111/mice.12065,Computer-Aided Civil and Infrastructure Engineering,"Abstract In this article, an original multidimensional presentation format for nondestructive evaluation point test spectral data is proposed. Time domain signals from air‐coupled impact‐echo (IE) tests are transformed into the frequency domain and arranged along x and y coordinates of the tested surface to give a 3‐D data set volume. Spectral amplitude is indicated by gray scale, giving rise to a “fourth” dimension of information within the data volume. This presentation, which stacks data in both spatial and spectral domains, includes all spectral data up to a natural frequency threshold (5–6 kHz) to isolate the response generated by near‐surface delamination defects. Visual interpretation of the dense data set of spectral information within the volume is enabled by incorporating transparency/opacity control on the data set, where higher spectral amplitudes are associated with more opacity. Consistent rule‐based criteria for optimal image parameter determination for a given test structure are established to optimize application for defect detection. Application of this data manipulation and visualization technique to IE data collected from two different reinforced concrete samples demonstrates improved near‐surface delamination detection as compared with conventional data presentation formats.",9,article,False,https://doi.org/10.1111/mice.12065,https://openalex.org/W1588905411,Tasks: defects
"Damage identification, progression, and condition rating of bridge decks using multi-modal non-destructive testing",Brian M. Pailes,2014,10.7282/t34m92v0,,"Bridges are an important part of the nation’s infrastructure and due to the limited budgets available to keep them properly maintained, the methods of evaluation and damage identification must improve in accuracy and cost-effectiveness. For the industry of bridge evaluation and damage identification the research area that provides the greatest potential is multi-modal non-destructive testing (NDT). A multi-modal NDT approach to condition assessment allows for the identification of several different deterioration states, in turn providing a more complete condition assessment. Research was conducted to develop a methodology and program to convert multi-modal NDT data from bare reinforced concrete bridge decks into a condition-based assessment. The NDT methods utilized were electrical resistivity (ER), half-cell potential (HCP), ground penetrating radar (GPR), impact echo (IE), and chain drag (CD). Data for each of these methods was collected on 12 bridge decks located in various geographic locations. Correlations were identified between the NDT methods so as to better understand the relationship between the methods and concrete deterioration. Some of the identified correlations include a strong association of low cover depth with deterioration, ER and HCP measurements being highly related, and GPR attenuation associated with locations of deterioration identify by ER, HCP, and CD. The identified correlations were used to develop a statistics-based approach to threshold identification for ER, HCP, and GPR. Threshold values are highly relative; therefore, a statistical approach provides a more effective and robust threshold identification methodology. Using the identified thresholds, the multi-modal NDT data was fused and converted into a deterioration-based condition assessment that identifies locations of corrosive environment, active corrosion, delamination/lateral cracking, and severe delamination. The condition assessment program also rates the bridge decks using established and federally mandated rating systems created by the National Bridge Inventory and American Association of State Highway and Transportation Officials. This research resulted in a more effective multi-modal NDT condition assessment of bridge decks. Improved multi-modal NDT will provide bridge owners and maintenance personnel an improved tool to assess bridge decks and to make decisions regarding their maintenance.",7,article,True,https://doi.org/10.7282/t34m92v0,https://openalex.org/W2305055600,Tasks: geometry
Prediction of the Static Modulus of Elasticity Using Four non Destructive Testing,Hugo Luis Chávez-García; Elía Mercedes Alonso Guzmán; Wilfrido Martínez Molina; Mario Graff; Juan Carlos Arteaga‐Arcos,2014,10.4067/s0718-915x2014000100004,Revista de la construcción,"The static modulus of elasticity (Es) is an important parameter in the analysis of hydraulic concrete structures, changes have been made to the regulation of construction; these changes require minimum values for the Es, so now, in addition to concrete compressive strength (f´c) also Es values should be ensured.A methodology to predict Es is proposed, specifically, the Es were modeled by testing: ultrasonic pulse velocity (UPV), electrical resistivity test (ERT), resonance frequency test (RFT), the Hammer Test Rebound (HTR) and f´c.In order to generate models multiple linear regression technique was used.Cylindrical specimens were prepared in two stages, in the first stage was simulated laboratory conditions in the second stage was simulated conditions of concrete made in situ.All cylinders were subjected to non-destructive and destructive tests at different ages.The research objective is to predict Es from the results of destructive tests (traditionally employed to obtain Es) and nondestructive testing.It was possible to obtain a model whose correlation coefficient indicates the good approximation in the generated predictions.",7,article,True,https://doi.org/10.4067/s0718-915x2014000100004,https://openalex.org/W2117113070,Tasks: strength
Compressive Strength Evaluation of Underwater Concrete Structures Integrating the Combination of Rebound Hardness and Ultrasonic Pulse Velocity Methods with Artificial Neural Networks,Seunghee Park; Junkyeong Kim; Eun‐Seok Shin; Sang‐Hun Han,2014,10.5281/zenodo.2655405,Zenodo (CERN European Organization for Nuclear Research),"In this study, two kinds of nondestructive evaluation (NDE) techniques (rebound hardness and ultrasonic pulse velocity methods) are investigated for the effective maintenance of underwater concrete structures. A new methodology to estimate the underwater concrete strengths more effectively, named ""artificial neural network (ANN) – based concrete strength estimation with the combination of rebound hardness and ultrasonic pulse velocity methods"" is proposed and verified throughout a series of experimental works.",5,article,True,https://doi.org/10.5281/zenodo.2655405,https://openalex.org/W1410711370,Tasks: strength
Application of statistical techniques to evaluate the reliability of ultrasonic and rebound hammer measurements of compressive strength in the concrete of bridges,Carlos Henrique de Carvalho; João Baptista Severo Júnior; Michelle Cardinale Souza Silva Macedo; Sandro Griza; C. E. C. de Andrade,2014,10.5897/sre2013.5780,Scientific Research and Essays,"In order to assess the uncertainties in the experimental measurements, the use of statistical error analysis is essential for a reliable technical diagnosis on structural safety in reinforced concrete of bridges. Two non-destructive techniques (ultrasound and rebound hammer) were performed, resulting in conflicting technical diagnostics when analyzed without the study of the variability of experimental errors. It was evident that physically the only use of arithmetic average means nothing. The obtained results also demonstrated the lack of correlations between those ones driven by the ultrasound and the impact hammer on the four tested bridges. &nbsp; Key words: Rebound hammer, ultrasound, compressive strength, nondestructive tests, statistical error analysis.",4,article,True,https://doi.org/10.5897/sre2013.5780,https://openalex.org/W2123594393,Tasks: strength
Electrochemical half-cell potential measurements for the detection of reinforcement corrosion,Andreas Bürkert; Gino Ebell; Thorsten Eichler; Karim Hariri; Jörg Harnisch,2014,,,"This specification describes the application of electrochemical half‐cell potential measurements (frequently also called potential mapping) for the detection of reinforcement corrosion in reinforced concrete structures. Areas of corroding reinforcement steel can be located in a nondestructive manner by means of this procedure. Half‐cell potential measurements are used in order to detect chloride‐induced corrosion. However, it is not recommended in order to assess the risk of carbonation‐induced corrosion. For this purpose the determination of the carbonation depth and the concrete cover appear to be more appropriate.
The content of this specification exclusively refers to the application of mobile, local variable reference electrodes, which are only placed on the concrete surface while measuring. The technique distinguishes itself thereby from the range of corrosion monitoring systems with stationary installed reference electrodes and sensor systems, respectively, whereby it is possible to continuously track measurements within the area of the installed electrodes. However, these methods are not dealt with in this specification.",4,article,False,https://openalex.org/W2736107003,https://openalex.org/W2736107003,"Tasks: geometry, deterioration"
